id,name,alternativeNames,municipio,departamentoId,departamento,lat,lon
"05895",Zaragoza - Antioquia,,Zaragoza,5,Antioquia,7.75,-74.75
"54128",Cáchira - Norte de Santander,,Cáchira,54,Norte de Santander,7.75,-73.1666667
"54239",Durania - Norte de Santander,,Durania,54,Norte de Santander,7.75,-72.6333333
"54172",Chinácota - Norte de Santander,,Chinácota,54,Norte de Santander,7.75,-72.55
"05172",Chigorodó - Antioquia,,Chigorodó,5,Antioquia,7.6666667,-76.6666667
"05120",Cáceres - Antioquia,,Cáceres,5,Antioquia,7.6666667,-75.3333333
"54051",Arboledas - Norte de Santander,,Arboledas,54,Norte de Santander,7.6666667,-72.75
"54099",Bochalema - Norte de Santander,,Bochalema,54,Norte de Santander,7.6666667,-72.5833333
"05250",El Bagre - Antioquia,,El Bagre,5,Antioquia,7.5941667,-74.8119444
"05790",Tarazá - Antioquia,,Tarazá,5,Antioquia,7.5833333,-75.35
"13744",Simití - Bolívar,,Simití,13,Bolívar,7.5833333,-74.1666667
"68575",Puerto Wilches - Santander,,Puerto Wilches,68,Santander,7.5833333,-73.6666667
"54599",Ragonvalia - Norte de Santander,,Ragonvalia,54,Norte de Santander,7.5833333,-72.5
"68780",Suratá - Santander,,Suratá,68,Santander,7.5,-72.9666667
"54223",Cucutilla - Norte de Santander,,Cucutilla,54,Norte de Santander,7.5,-72.75
"54520",Pamplonita - Norte de Santander,,Pamplonita,54,Norte de Santander,7.5,-72.5833333
"54347",Herrán - Norte de Santander,,Herrán,54,Norte de Santander,7.5,-72.4666667
"68255",El Playón - Santander,,El Playón,68,Santander,7.4766667,-73.2080556
"27615",Ríosucio - Chocó,,Ríosucio,27,Chocó,7.4166667,-77.1666667
"68406",Lebrija - Santander,,Lebrija,68,Santander,7.4166667,-73.4166667
"68444",Matanza - Santander,,Matanza,68,Santander,7.4166667,-73.0833333
"68132",California - Santander,,California,68,Santander,7.4166667,-72.85
"68655",Sabana de Torres - Santander,,Sabana de Torres,68,Santander,7.3980556,-73.4969444
"13160",Cantagallo - Bolívar,,Cantagallo,13,Bolívar,7.3791667,-73.9180556
"54518",Pamplona - Norte de Santander,,Pamplona,54,Norte de Santander,7.3780556,-72.6525
"27086",Belén de Bajirá - Chocó,,Belén de Bajirá,27,Chocó,7.3725,-76.7147222
"05480",Mutatá - Antioquia,,Mutatá,5,Antioquia,7.3333333,-76.5
"05854",Valdivia - Antioquia,,Valdivia,5,Antioquia,7.3333333,-75.3333333
"68867",Vetas - Santander,,Vetas,68,Santander,7.3333333,-72.8666667
"54480",Mutiscua - Norte de Santander,,Mutiscua,54,Norte de Santander,7.3333333,-72.7166667
"54377",Labateca - Norte de Santander,,Labateca,54,Norte de Santander,7.3333333,-72.5
"68169",Charta - Santander,,Charta,68,Santander,7.3,-72.9666667
"54820",Toledo - Norte de Santander,,Toledo,54,Norte de Santander,7.3,-72.25
"05361",Ituango - Antioquia,,Ituango,5,Antioquia,7.25,-76
